time,T_Dalam,H_Dalam
"""2021-02-25T01:52:53.996Z""",25.9,69
"""2021-02-25T01:52:56.998Z""",25.9,69.1
"""2021-02-25T01:52:59.996Z""",25.9,69.2
"""2021-02-25T01:53:03.006Z""",25.9,68.4
"""2021-02-25T01:53:05.996Z""",25.9,69.3
"""2021-02-25T01:53:08.998Z""",25.9,69.4
"""2021-02-25T01:53:11.995Z""",25.9,69.4
"""2021-02-25T01:53:14.998Z""",25.9,69.4
"""2021-02-25T01:53:17.999Z""",25.9,69.6
"""2021-02-25T01:53:20.996Z""",25.9,69.4
"""2021-02-25T01:53:24.000Z""",25.9,69.5
"""2021-02-25T01:53:27.000Z""",25.9,69.5
"""2021-02-25T01:53:29.997Z""",25.9,69.6
"""2021-02-25T01:53:32.998Z""",25.9,69.7
"""2021-02-25T01:53:36.002Z""",25.9,69.8
"""2021-02-25T01:53:38.997Z""",26,69.8
"""2021-02-25T01:53:41.996Z""",25.9,68.5
"""2021-02-25T01:53:45.003Z""",25.9,69.8
"""2021-02-25T01:53:48.000Z""",26,69.8
"""2021-02-25T01:53:51.000Z""",26,69.9
"""2021-02-25T01:53:54.000Z""",26,69
"""2021-02-25T01:53:57.000Z""",26,70
"""2021-02-25T01:54:00.000Z""",26,69.9
"""2021-02-25T01:54:02.995Z""",26,69.9
"""2021-02-25T01:54:05.995Z""",26,69.9
"""2021-02-25T01:54:08.995Z""",26,69.8
"""2021-02-25T01:54:12.000Z""",26,68.6
"""2021-02-25T01:54:14.999Z""",26,70
"""2021-02-25T01:54:17.995Z""",26,70.1
"""2021-02-25T01:54:21.000Z""",26,70
"""2021-02-25T01:54:24.000Z""",26,69.1
"""2021-02-25T01:54:26.995Z""",26,70.1
"""2021-02-25T01:54:29.994Z""",26.1,70.2
"""2021-02-25T01:54:32.999Z""",26.1,70.2
"""2021-02-25T01:54:35.997Z""",26.1,70.1
"""2021-02-25T01:54:38.999Z""",26.1,70.3
"""2021-02-25T01:54:41.995Z""",26.1,70.2
"""2021-02-25T01:54:45.000Z""",26.1,70.3
"""2021-02-25T01:54:47.994Z""",26.1,70.3
"""2021-02-25T01:54:50.999Z""",26.1,70.3
"""2021-02-25T01:54:53.995Z""",26.1,70.4
"""2021-02-25T01:54:56.996Z""",26.1,70.4
"""2021-02-25T01:54:59.999Z""",26.1,70.4
"""2021-02-25T01:55:02.997Z""",26.1,70.6
"""2021-02-25T01:55:05.999Z""",26.1,70.4
"""2021-02-25T01:55:08.995Z""",26.1,70.5
"""2021-02-25T01:55:11.998Z""",26.1,70.4
"""2021-02-25T01:55:15.000Z""",26.1,69.5
"""2021-02-25T01:55:17.995Z""",26.2,70.5
"""2021-02-25T01:55:20.999Z""",26.1,70.4
"""2021-02-25T01:55:23.994Z""",26.1,70.4
"""2021-02-25T01:55:27.001Z""",26.2,70.5
"""2021-02-25T01:55:29.995Z""",26.2,70.5
"""2021-02-25T01:55:32.999Z""",26.1,69.3
"""2021-02-25T01:55:35.998Z""",26.2,70.6
"""2021-02-25T01:55:38.995Z""",26.2,70.7
"""2021-02-25T01:55:41.998Z""",26.2,70.7
"""2021-02-25T01:55:44.995Z""",26.2,69.7
"""2021-02-25T01:55:47.998Z""",26.2,70.6
"""2021-02-25T01:55:50.996Z""",26.2,70.7
"""2021-02-25T01:55:54.000Z""",26.2,70.7
"""2021-02-25T01:55:56.998Z""",26.3,70.7
"""2021-02-25T01:55:59.995Z""",26.2,70.7
"""2021-02-25T01:56:02.998Z""",26.2,69.4
"""2021-02-25T01:56:05.999Z""",26.2,70.7
"""2021-02-25T01:56:08.995Z""",26.2,70.8
"""2021-02-25T01:56:11.998Z""",26.2,70.7
"""2021-02-25T01:56:14.999Z""",26.3,70.8
