time,T_Luar,H_Luar
"""2021-02-25T01:46:22.928Z""",29.6,89.8
"""2021-02-25T01:46:25.925Z""",29.6,89.8
"""2021-02-25T01:46:28.927Z""",29.6,89.7
"""2021-02-25T01:46:31.925Z""",29.6,88.6
"""2021-02-25T01:46:34.925Z""",29.6,89.4
"""2021-02-25T01:46:37.927Z""",29.6,89.3
"""2021-02-25T01:46:40.925Z""",29.6,89.3
"""2021-02-25T01:46:43.926Z""",29.6,88.1
"""2021-02-25T01:46:46.928Z""",29.6,89.3
"""2021-02-25T01:46:49.923Z""",29.6,89.3
"""2021-02-25T01:46:52.928Z""",29.6,89.2
"""2021-02-25T01:46:55.927Z""",29.6,89.3
"""2021-02-25T01:46:58.924Z""",29.6,87.9
"""2021-02-25T01:47:01.927Z""",29.5,89.2
"""2021-02-25T01:47:04.925Z""",29.6,89.4
"""2021-02-25T01:47:07.924Z""",29.6,89.5
"""2021-02-25T01:47:10.927Z""",29.6,88.1
"""2021-02-25T01:47:13.924Z""",29.5,87.9
"""2021-02-25T01:47:16.936Z""",29.5,89.2
"""2021-02-25T01:47:19.926Z""",29.5,89.2
"""2021-02-25T01:47:22.927Z""",29.5,88.3
"""2021-02-25T01:47:25.927Z""",29.5,87.9
"""2021-02-25T01:47:28.925Z""",29.5,89.2
"""2021-02-25T01:47:31.952Z""",29.5,89.3
"""2021-02-25T01:47:34.925Z""",29.4,89.3
"""2021-02-25T01:47:37.926Z""",29.4,89.3
"""2021-02-25T01:47:40.924Z""",29.4,88
"""2021-02-25T01:47:43.924Z""",29.4,89.3
"""2021-02-25T01:47:46.927Z""",29.4,89.3
"""2021-02-25T01:47:49.924Z""",29.4,89.4
"""2021-02-25T01:47:52.926Z""",29.4,88.6
"""2021-02-25T01:47:55.925Z""",29.3,89.5
"""2021-02-25T01:47:58.935Z""",29.4,88.3
"""2021-02-25T01:48:01.923Z""",29.4,89.6
"""2021-02-25T01:48:04.935Z""",29.4,89.6
"""2021-02-25T01:48:07.924Z""",29.3,89.6
"""2021-02-25T01:48:10.926Z""",29.3,88.3
"""2021-02-25T01:48:13.927Z""",29.3,89.7
"""2021-02-25T01:48:16.932Z""",29.3,88.5
"""2021-02-25T01:48:19.925Z""",29.3,89.7
"""2021-02-25T01:48:22.924Z""",29.3,89.8
"""2021-02-25T01:48:25.924Z""",29.3,89.8
"""2021-02-25T01:48:28.926Z""",29.3,89.8
"""2021-02-25T01:48:31.923Z""",29.3,90
"""2021-02-25T01:48:34.926Z""",29.2,89.8
"""2021-02-25T01:48:37.925Z""",29.2,89.9
"""2021-02-25T01:48:40.924Z""",29.2,88.7
"""2021-02-25T01:48:43.926Z""",29.2,89.1
"""2021-02-25T01:48:46.923Z""",29.3,90
"""2021-02-25T01:48:49.923Z""",29.3,90.1
"""2021-02-25T01:48:52.924Z""",29.3,89
"""2021-02-25T01:48:55.923Z""",29.3,89
"""2021-02-25T01:48:58.930Z""",29.2,88.9
"""2021-02-25T01:49:01.930Z""",29.2,90.1
"""2021-02-25T01:49:04.924Z""",29.2,90.1
"""2021-02-25T01:49:07.924Z""",29.3,90.2
"""2021-02-25T01:49:10.926Z""",29.3,89.1
"""2021-02-25T01:49:13.923Z""",29.3,89.6
"""2021-02-25T01:49:16.929Z""",29.3,89.1
"""2021-02-25T01:49:19.923Z""",29.3,90.2
"""2021-02-25T01:49:22.922Z""",29.3,90.2
"""2021-02-25T01:49:25.924Z""",29.3,89.2
"""2021-02-25T01:49:28.924Z""",29.3,90.2
"""2021-02-25T01:49:31.923Z""",29.3,89
"""2021-02-25T01:49:34.923Z""",29.3,90.1
"""2021-02-25T01:49:37.925Z""",29.3,90.1
"""2021-02-25T01:49:40.928Z""",29.3,90.2
"""2021-02-25T01:49:43.927Z""",29.3,90.2
"""2021-02-25T01:49:46.928Z""",29.3,90.2
"""2021-02-25T01:49:49.930Z""",29.3,89.2
"""2021-02-25T01:49:52.932Z""",29.3,89.2
"""2021-02-25T01:49:55.923Z""",29.4,90.2
"""2021-02-25T01:49:58.930Z""",29.4,90.2
"""2021-02-25T01:50:01.923Z""",29.4,90.2
"""2021-02-25T01:50:04.927Z""",29.4,89.7
"""2021-02-25T01:50:07.929Z""",29.4,90.2
"""2021-02-25T01:50:10.922Z""",29.4,90.3
"""2021-02-25T01:50:13.939Z""",29.4,89.3
"""2021-02-25T01:50:16.926Z""",29.5,90.3
"""2021-02-25T01:50:19.922Z""",29.4,90.2
"""2021-02-25T01:50:22.927Z""",29.4,90.2
"""2021-02-25T01:50:25.924Z""",29.5,90.3
"""2021-02-25T01:50:28.928Z""",29.5,89.3
"""2021-02-25T01:50:31.925Z""",29.5,89.2
"""2021-02-25T01:50:34.927Z""",29.5,89.7
"""2021-02-25T01:50:37.924Z""",29.5,89.2
"""2021-02-25T01:50:40.928Z""",29.5,89.2
"""2021-02-25T01:50:43.928Z""",29.5,90.2
"""2021-02-25T01:50:46.925Z""",29.5,90.2
"""2021-02-25T01:50:49.928Z""",29.5,90.2
"""2021-02-25T01:50:52.929Z""",29.6,90.1
"""2021-02-25T01:50:55.923Z""",29.6,89
"""2021-02-25T01:50:58.927Z""",29.6,90
"""2021-02-25T01:51:01.927Z""",29.6,88.9
"""2021-02-25T01:51:04.925Z""",29.6,90.1
"""2021-02-25T01:51:07.923Z""",29.6,90.1
"""2021-02-25T01:51:10.925Z""",29.6,90.2
"""2021-02-25T01:51:13.927Z""",29.6,90.1
"""2021-02-25T01:51:16.924Z""",29.6,89.1
"""2021-02-25T01:51:19.927Z""",29.6,90.2
"""2021-02-25T01:51:22.926Z""",29.6,90.2
"""2021-02-25T01:51:25.925Z""",29.7,89.6
"""2021-02-25T01:51:28.928Z""",29.7,90.1
"""2021-02-25T01:51:31.923Z""",29.7,89
"""2021-02-25T01:51:34.926Z""",29.7,90.1
"""2021-02-25T01:51:37.923Z""",29.7,90
"""2021-02-25T01:51:40.927Z""",29.7,88.6
"""2021-02-25T01:51:43.927Z""",29.7,89.7
"""2021-02-25T01:51:46.924Z""",29.7,89.5
"""2021-02-25T01:51:49.926Z""",29.7,89.4
"""2021-02-25T01:51:52.927Z""",29.7,89.3
"""2021-02-25T01:51:55.923Z""",29.7,89.4
"""2021-02-25T01:51:58.928Z""",29.7,89.3
"""2021-02-25T01:52:01.925Z""",29.7,89.2
"""2021-02-25T01:52:04.926Z""",29.7,89.2
"""2021-02-25T01:52:07.933Z""",29.7,89.3
"""2021-02-25T01:52:10.922Z""",29.6,89.3
"""2021-02-25T01:52:13.927Z""",29.7,89.3
"""2021-02-25T01:52:16.923Z""",29.6,87.9
"""2021-02-25T01:52:19.927Z""",29.6,89.2
"""2021-02-25T01:52:22.926Z""",29.6,89.3
"""2021-02-25T01:52:25.932Z""",29.6,89.3
"""2021-02-25T01:52:28.925Z""",29.6,89.2
"""2021-02-25T01:52:31.926Z""",29.6,89.4
"""2021-02-25T01:52:34.922Z""",29.6,89.6
"""2021-02-25T01:52:37.926Z""",29.6,88.2
"""2021-02-25T01:52:40.922Z""",29.6,89.5
"""2021-02-25T01:52:43.926Z""",29.6,89.5
"""2021-02-25T01:52:46.927Z""",29.6,88.7
"""2021-02-25T01:52:49.922Z""",29.6,88.2
"""2021-02-25T01:52:52.925Z""",29.6,88.1
"""2021-02-25T01:52:55.924Z""",29.5,89.3
"""2021-02-25T01:52:58.924Z""",29.5,89.3
"""2021-02-25T01:53:01.925Z""",29.6,88.1
"""2021-02-25T01:53:04.922Z""",29.5,88.1
"""2021-02-25T01:53:07.926Z""",29.5,88.1
"""2021-02-25T01:53:10.923Z""",29.5,89.6
"""2021-02-25T01:53:13.924Z""",29.5,88.3
"""2021-02-25T01:53:16.925Z""",29.6,88.8
"""2021-02-25T01:53:19.922Z""",29.5,89.5
"""2021-02-25T01:53:22.925Z""",29.5,89.6
"""2021-02-25T01:53:25.925Z""",29.5,88.3
"""2021-02-25T01:53:28.922Z""",29.5,89.7
"""2021-02-25T01:53:31.929Z""",29.5,89.7
"""2021-02-25T01:53:34.923Z""",29.6,88.5
"""2021-02-25T01:53:37.926Z""",29.5,89.7
"""2021-02-25T01:53:40.927Z""",29.6,89.7
"""2021-02-25T01:53:43.922Z""",29.6,89.7
"""2021-02-25T01:53:46.923Z""",29.6,88.3
"""2021-02-25T01:53:49.924Z""",29.6,89.6
"""2021-02-25T01:53:52.922Z""",29.6,89.5
"""2021-02-25T01:53:55.930Z""",29.6,88.3
"""2021-02-25T01:53:58.925Z""",29.6,88.2
"""2021-02-25T01:54:01.922Z""",29.6,88.2
"""2021-02-25T01:54:04.922Z""",29.6,89.6
"""2021-02-25T01:54:07.923Z""",29.6,88.8
"""2021-02-25T01:54:10.922Z""",29.6,88.3
"""2021-02-25T01:54:13.925Z""",29.6,88.3
"""2021-02-25T01:54:16.923Z""",29.6,89.6
"""2021-02-25T01:54:19.922Z""",29.6,88.2
"""2021-02-25T01:54:22.924Z""",29.5,89.4
"""2021-02-25T01:54:25.921Z""",29.5,89.5
"""2021-02-25T01:54:28.924Z""",29.5,88.2
"""2021-02-25T01:54:31.923Z""",29.5,89.5
"""2021-02-25T01:54:34.923Z""",29.5,89.5
"""2021-02-25T01:54:37.924Z""",29.5,88.7
"""2021-02-25T01:54:40.922Z""",29.5,89.6
"""2021-02-25T01:54:43.925Z""",29.5,89.5
"""2021-02-25T01:54:46.922Z""",29.5,89.6
"""2021-02-25T01:54:49.924Z""",29.5,89.7
"""2021-02-25T01:54:52.923Z""",29.5,89.8
"""2021-02-25T01:54:55.924Z""",29.5,89.7
"""2021-02-25T01:54:58.924Z""",29.5,89.7
"""2021-02-25T01:55:01.930Z""",29.5,88.5
"""2021-02-25T01:55:04.925Z""",29.5,88.5
"""2021-02-25T01:55:07.923Z""",29.5,89.7
"""2021-02-25T01:55:10.924Z""",29.5,89.7
"""2021-02-25T01:55:13.926Z""",29.5,89.7
"""2021-02-25T01:55:16.921Z""",29.5,90
"""2021-02-25T01:55:19.924Z""",29.5,90
"""2021-02-25T01:55:22.921Z""",29.5,88.8
"""2021-02-25T01:55:25.928Z""",29.5,89.9
"""2021-02-25T01:55:28.923Z""",29.5,89
"""2021-02-25T01:55:31.925Z""",29.5,89.7
"""2021-02-25T01:55:34.924Z""",29.6,89.9
"""2021-02-25T01:55:37.922Z""",29.6,89.8
"""2021-02-25T01:55:40.925Z""",29.6,88.4
"""2021-02-25T01:55:43.922Z""",29.6,89.8
"""2021-02-25T01:55:46.922Z""",29.6,89.9
"""2021-02-25T01:55:49.920Z""",29.6,89.9
"""2021-02-25T01:55:52.924Z""",29.6,89.9
"""2021-02-25T01:55:55.924Z""",29.6,89.9
"""2021-02-25T01:55:58.922Z""",29.6,89.1
"""2021-02-25T01:56:01.923Z""",29.6,88.5
